climate_region,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
Desert,1.6590177647087654,1.3946046816739675,3.2966031352908485,0.4182105263157895
Mediterranean,1.567075869692389,1.2423841031700718,1.6324003765539896,0.3096
Rainforest,1.6918550732976148,1.478954202124412,3.3013232751930564,0.3972
Savana,1.6292351474746178,1.3200265275662622,3.371680421526112,0.33389090909090907
Steppe,1.6114893496574556,1.313227519566478,3.8460367682117282,0.3534
