country,year,month,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Algeria,2023,6,23.66188888888889,56.19625,0.10445138888888889,9.228361111111111,63.07034520428611,1.6362105834701406,1.2939940845596243,1.4139492807193106,0.3972,5562627041.424268,42896194.01415857,5519730847.410108,137192751.93803883,31755010599.985992,14310510382.701336,42896194.01415857,0.0,Mediterranean
Algeria,2023,7,30.19508064516129,39.031048387096774,0.003870967741935484,9.67391129032258,67.07728120214058,1.6596224085847135,1.3656141758813487,1.4139492807193106,0.3972,5748047942.805077,44326067.14796385,5703721875.657111,141765843.66930678,32813510953.31886,14787527395.458048,44326067.14796385,0.0,Mediterranean
Algeria,2023,8,27.61702380952381,44.37755102040816,0.006105442176870748,9.30079931972789,65.76313912960511,1.6541743315596869,1.3361120239914133,1.4139492807193106,0.3972,4542812083.829819,35031891.7782295,4507780192.051588,112040747.41606505,25933258656.655228,11686916812.539425,35031891.7782295,0.0,Mediterranean
Algeria,2023,9,24.932833333333335,55.9225,0.009216666666666666,9.990583333333333,65.21870473940119,1.652271717134421,1.3229339075939155,1.4139492807193106,0.3972,927104506.9040446,7149365.669026428,919955141.235018,22865458.656339806,5292501766.664332,2385085063.783556,7149365.669026428,0.0,Mediterranean
Algeria,2023,10,22.317999999999998,54.365,0.016374999999999997,9.669083333333333,60.78760939486423,1.6206583849574179,1.2591633353694227,1.4139492807193106,0.3972,927104506.9040446,7149365.669026428,919955141.235018,22865458.656339806,5292501766.664332,2385085063.783556,7149365.669026428,0.0,Mediterranean
Algeria,2023,11,16.966666666666665,60.26833333333333,0.179475,11.223833333333333,53.78080160260459,1.5565809810530653,1.1963077866978262,1.4139492807193106,0.3972,927104506.9040446,7149365.669026428,919955141.235018,22865458.656339806,5292501766.664332,2385085063.783556,7149365.669026428,0.0,Mediterranean
Algeria,2023,12,12.9575,66.32333333333334,0.115575,11.240916666666667,48.66823267412231,1.4973927906244617,1.1839683857225656,1.4139492807193106,0.3972,927104506.9040446,7149365.669026428,919955141.235018,22865458.656339806,5292501766.664332,2385085063.783556,7149365.669026428,0.0,Mediterranean
Algeria,2024,1,13.276929012345681,60.1820987654321,0.03469135802469136,9.308101851851852,47.92609658793667,1.4866128603981448,1.188077103136836,1.4139492807193106,0.3972,1001272867.4563682,7721314.922548542,993551552.5338194,24694695.34884699,5715901907.9974785,2575891868.8862405,7721314.922548542,0.0,Mediterranean
Algeria,2024,2,12.871666666666666,67.19722222222222,0.11427777777777778,12.469351851851851,48.611523514440755,1.495418742170285,1.18738383468971,1.4139492807193106,0.3972,834394056.2136401,6434429.102123785,827959627.1115161,20578912.790705826,4763251589.997899,2146576557.4052005,6434429.102123785,0.0,Mediterranean
Algeria,2024,3,14.932954545454546,62.44621212121212,0.03359090909090909,13.730227272727273,50.897727579245824,1.522012159224297,1.192561851144579,1.4139492807193106,0.3972,1019814957.594449,7864302.23592907,1011950655.3585198,25152004.521973785,5821751943.330766,2623593570.161912,7864302.23592907,0.0,Mediterranean
Algeria,2024,4,15.667833333333334,62.7525,0.041475,11.706083333333332,51.97185003651005,1.5357869317976458,1.1915422933999098,1.4139492807193106,0.3972,927104506.9040446,7149365.669026428,919955141.235018,22865458.656339806,5292501766.664332,2385085063.783556,7149365.669026428,0.0,Mediterranean
Algeria,2024,5,20.183333333333334,52.876666666666665,0.013408333333333333,10.186083333333332,57.03287005834415,1.5868566264113448,1.2240373441174528,1.4139492807193106,0.3972,927104506.9040446,7149365.669026428,919955141.235018,22865458.656339806,5292501766.664332,2385085063.783556,7149365.669026428,0.0,Mediterranean
Algeria,2024,6,24.385416666666668,53.25416666666667,0.014725000000000002,11.243166666666665,63.40582085157023,1.6410010443143204,1.2923592286165266,1.4139492807193106,0.3972,927104506.9040446,7149365.669026428,919955141.235018,22865458.656339806,5292501766.664332,2385085063.783556,7149365.669026428,0.0,Mediterranean
Algeria,2024,7,27.637666666666664,48.165,0.0008833333333333334,9.50375,66.84364209835816,1.6622297600866724,1.3507275365920761,1.4139492807193106,0.3972,927104506.9040446,7149365.669026428,919955141.235018,22865458.656339806,5292501766.664332,2385085063.783556,7149365.669026428,0.0,Mediterranean
Algeria,2024,8,29.677500000000002,43.53333333333333,0.0,8.924583333333334,68.36457378769207,1.671069732708871,1.3780382622807539,1.4139492807193106,0.3972,185420901.38080892,1429873.1338052854,183991028.2470036,4573091.731267961,1058500353.3328664,477017012.75671124,1429873.1338052854,0.0,Mediterranean
Benin,2022,8,23.87789351851852,83.59606481481481,0.4439583333333333,11.476331018518518,71.00738362993536,1.6851536881884783,1.4289360701978666,1.462263736263736,0.3972,62647179.34708372,688430.5422756455,38207895.09629833,0.0,30635159.13126621,0.0,688430.5422756455,0.0,Savana
Benin,2022,9,24.296504629629627,86.8326388888889,0.34194675925925927,9.747499999999999,72.55406266027171,1.6908946125641549,1.4654682755092774,1.462263736263736,0.3972,156617948.36770928,1721076.3556891137,95519737.74074583,0.0,76587897.82816552,0.0,1721076.3556891137,0.0,Savana
Benin,2022,10,26.05114247311828,79.66397849462365,0.13895609318996416,8.445116487455197,73.65088699677734,1.6934408375466945,1.495486562931428,1.462263736263736,0.3972,161838546.64663294,1778445.5675454175,98703728.99877068,0.0,79140827.75577104,0.0,1778445.5675454175,0.0,Savana
Benin,2022,11,27.768703703703704,61.68587962962963,0.03405092592592592,9.036597222222222,71.18506788773539,1.6770966315567253,1.4566345984422617,1.462263736263736,0.3972,156617948.36770928,1721076.3556891137,95519737.74074583,0.0,76587897.82816552,0.0,1721076.3556891137,0.0,Savana
Benin,2022,12,28.050336021505377,52.728270609319,0.0128584229390681,9.490748207885304,68.49216145858765,1.6597028107317429,1.4129762364579603,1.462263736263736,0.3972,161838546.64663294,1778445.5675454175,98703728.99877068,0.0,79140827.75577104,0.0,1778445.5675454175,0.0,Savana
Benin,2023,1,28.463082437275986,50.689068100358426,0.012746415770609318,9.814650537634408,68.2397064002357,1.6583946787037964,1.4080138008577903,1.462263736263736,0.3972,161838546.64663294,1778445.5675454175,98703728.99877068,0.0,79140827.75577104,0.0,1778445.5675454175,0.0,Savana
Benin,2023,2,29.561011904761905,52.24032738095238,0.012219742063492064,11.01483134920635,70.31593562032486,1.6699260581708557,1.4467411987404315,1.462263736263736,0.3972,146176751.80986202,1606337.9319765063,89151755.2246961,0.0,71482037.97295448,0.0,1606337.9319765063,0.0,Savana
Benin,2023,3,29.698790322580646,62.187275985663085,0.2049260752688172,11.725649641577062,74.26597788249367,1.6939708900041253,1.5147413834483225,1.462263736263736,0.3972,161838546.64663294,1778445.5675454175,98703728.99877068,0.0,79140827.75577104,0.0,1778445.5675454175,0.0,Savana
